"Titre","Description","Statut","Etiquettes"
"1.1 Spring Boot 3.x Project Init [💻 PC]","- Generate Spring Boot 3.x project with Spring Initializr (Web, Security, JPA, Validation, OAuth2 Client).
- Configure Maven/Gradle multi-module structure (api, domain, infrastructure).
- Setup `.env.example`, `application.yml` profiles (dev, test, prod).
- Configure CORS policy for React frontend origin.
","Ouvert","— 🔵 MVP [P0]"
"1.2 PostgreSQL Docker Setup [💻 PC]","- Write `docker-compose.yml` with PostgreSQL 16 service.
- Add pgAdmin container for visual DB management.
- Create init SQL script for database creation.
- Verify `docker-compose up` starts cleanly on Windows.
","Ouvert","— 🔵 MVP [P0]"
"1.3 Master ERD — Database Schema [💻 PC]","- Create `User` entity (uuid, full_name, username, email, password_hash, mfa_enabled, is_active, last_login).
- Create `Cabinet` entity (uuid, name, barreau, email, phone, address, city, postal_code, website, pack, status, payment_status, specializations, risk_score).
- Create `UserCabinet` join table (user_id, cabinet_id, role ENUM: ADMIN|CM|AVOCAT).
- Create `Post` entity (uuid, cabinet_id, created_by, content, status ENUM, target_networks, scheduled_at, published_at, ai_source).
- Create `Media` entity (uuid, cabinet_id, file_name, s3_key, content_type, size_bytes, legal_theme, is_validated).
- Create `PostMedia` join table.
- Create `AuditLog` entity (uuid, post_id, actor_id, action ENUM, comment, performed_at — immutable).
- Run Flyway/Liquibase migration to generate all tables.
","Ouvert","— 🔵 MVP [P0]"
"1.4 JWT Authentication — Email/Password [💻 PC]","- Implement `JwtTokenProvider` (create, validate, parse claims).
- Implement `JwtAuthFilter` (extract token from Authorization header).
- Implement `AuthController` with `POST /api/v1/auth/login` endpoint.
- JWT payload: sub, email, roles (cabinet→role map), activeCabinetId, isSimulating, iat, exp.
- BCrypt password hashing (cost=12).
- Return 401 on invalid credentials, 200 + token on success.
","Ouvert","— 🔵 MVP [P0]"
"1.5 TenantContextFilter — Multi-Tenancy Core [💻 PC]","- Implement `TenantContextFilter` reading `X-Cabinet-Context` header.
- Assert `cabinetRoles.containsKey(headerCabinetId)` — return 403 if unauthorized.
- Set `TenantContext.set(cabinetId, role)` via ThreadLocal.
- Enable Hibernate `@Filter(""cabinetFilter"")` on all tenant-scoped entities.
- Add `finally { TenantContext.clear() }` to prevent context leak.
","Ouvert","— 🔵 MVP [P0]"
"1.6 User Entity + Repository [💻 PC]","- Implement `UserRepository` with `findByEmail()`, `findByUsername()`.
- Implement `UserService` with create, findById, findAll, deactivate.
- Add unique constraints on email and username.
- Implement `UserDTO` and `CreateUserRequest` DTOs with Bean Validation.
","Ouvert","— 🔵 MVP [P0]"
"1.7 Cabinet Entity + Repository [💻 PC]","- Implement `CabinetRepository` with `findAllByStatus()`.
- Implement `CabinetService` with CRUD operations.
- Add `@Filter` annotation for tenant-scoped queries.
- Implement `CabinetDTO` and `CreateCabinetRequest` DTOs.
","Ouvert","— 🔵 MVP [P0]"
"1.8 React 18 Project Init (Vite + TypeScript + Tailwind) [💻 PC]","- Initialize React project with `create-vite` (TypeScript template).
- Install Tailwind CSS and configure `tailwind.config.ts`.
- Setup project structure: `components/`, `pages/`, `hooks/`, `services/`, `types/`.
- Install Axios and create `apiClient.ts` with JWT interceptor.
- Install React Router v6 and configure base routes.
","Ouvert","— 🔵 MVP [P0]"
"1.9 AuthGuard + JWT Context Provider [💻 PC]","- Implement `AuthContext` (React Context) with login/logout/currentUser.
- Implement `AuthGuard` component (redirect to /login if no token).
- Implement `LoginPage` with email/password form.
- Display ""Contactez-nous"" instead of ""Sign up"" (no self-registration).
- Store JWT in `httpOnly` cookie or secure localStorage.
","Ouvert","— 🔵 MVP [P0]"
"1.10 Dynamic Sidebar Component [💻 PC]","- Implement `useSidebarConfig(role)` hook returning role-specific menu items.
- Admin sidebar: OPÉRATIONS, BUSINESS, COORDINATION, CONFORMITÉ, PARAMÈTRES.
- CM sidebar: condensed view with cabinet-scoped items.
- Lawyer sidebar: CONTENU, CANAUX, ANALYSE, SUPPORT.
- Implement `AppLayout` with Sidebar + TopBar + Main content area.
","Ouvert","— 🔵 MVP [P0]"
